f1,f2
1098.193359375,576.01318359375
1033.59375,387.59765625
1076.66015625,559.86328125
1055.126953125,382.21435546875
1162.79296875,662.14599609375
839.794921875,1916.455078125
990.52734375,516.796875
1205.859375,667.529296875
1205.859375,667.529296875
861.328125,2255.60302734375
1098.193359375,570.6298828125
861.328125,419.8974609375
1205.859375,667.529296875
1335.05859375,624.462890625
1119.7265625,366.064453125
1055.126953125,425.28076171875
1162.79296875,500.64697265625
947.4609375,479.11376953125
1313.525390625,602.9296875
861.328125,398.3642578125
990.52734375,500.64697265625
1033.59375,576.01318359375
645.99609375,1970.2880859375
947.4609375,511.41357421875
1076.66015625,538.330078125
1205.859375,662.14599609375
1270.458984375,613.6962890625
947.4609375,436.04736328125
1205.859375,672.91259765625
1291.9921875,640.61279296875
904.39453125,360.68115234375
1227.392578125,581.396484375
1012.060546875,705.21240234375
1055.126953125,576.01318359375
1270.458984375,570.6298828125
1162.79296875,1846.47216796875
1205.859375,565.24658203125
1162.79296875,662.14599609375
1162.79296875,656.7626953125
1012.060546875,699.8291015625
1184.326171875,581.396484375
775.1953125,349.91455078125
1270.458984375,554.47998046875
1313.525390625,624.462890625
1335.05859375,489.88037109375
1184.326171875,667.529296875
1248.92578125,570.6298828125
624.462890625,301.46484375
1055.126953125,436.04736328125
1184.326171875,522.18017578125
925.927734375,371.44775390625
1033.59375,570.6298828125
1205.859375,506.0302734375
1162.79296875,441.4306640625
1162.79296875,656.7626953125
1076.66015625,511.41357421875
1227.392578125,527.5634765625
1162.79296875,651.37939453125
990.52734375,409.130859375
1184.326171875,576.01318359375
1162.79296875,667.529296875
1981.0546875,1308.14208984375
990.52734375,392.98095703125
1119.7265625,667.529296875
732.12890625,344.53125
1162.79296875,565.24658203125
1205.859375,570.6298828125
1162.79296875,656.7626953125
1076.66015625,554.47998046875
1528.857421875,1695.73974609375
1033.59375,565.24658203125
1162.79296875,662.14599609375
990.52734375,522.18017578125
1141.259765625,430.6640625
1162.79296875,446.81396484375
1162.79296875,565.24658203125
1205.859375,963.61083984375
861.328125,2104.87060546875
1141.259765625,565.24658203125
1184.326171875,662.14599609375
1227.392578125,489.88037109375
1141.259765625,678.2958984375
1162.79296875,656.7626953125
796.728515625,355.2978515625
1119.7265625,392.98095703125
1162.79296875,656.7626953125
1291.9921875,608.31298828125
1162.79296875,538.330078125
1162.79296875,672.91259765625
1205.859375,629.84619140625
818.26171875,317.61474609375
1119.7265625,586.77978515625
1162.79296875,651.37939453125
1098.193359375,403.74755859375
1055.126953125,554.47998046875
1119.7265625,570.6298828125
1162.79296875,656.7626953125
1055.126953125,398.3642578125
925.927734375,376.8310546875
1141.259765625,489.88037109375
1141.259765625,592.1630859375
1119.7265625,608.31298828125
753.662109375,322.998046875
990.52734375,506.0302734375
1313.525390625,586.77978515625
1291.9921875,527.5634765625
1270.458984375,662.14599609375
1227.392578125,667.529296875
1227.392578125,640.61279296875
1119.7265625,565.24658203125
1033.59375,699.8291015625
1141.259765625,667.529296875
1055.126953125,667.529296875
796.728515625,2024.12109375
1335.05859375,624.462890625
1162.79296875,409.130859375
947.4609375,1862.6220703125
1162.79296875,662.14599609375
1119.7265625,683.67919921875
1076.66015625,619.07958984375
1184.326171875,613.6962890625
1227.392578125,559.86328125
1076.66015625,694.44580078125
1162.79296875,516.796875
1076.66015625,689.0625
1162.79296875,662.14599609375
1076.66015625,689.0625
990.52734375,985.14404296875
1248.92578125,576.01318359375
1205.859375,662.14599609375
1184.326171875,559.86328125
947.4609375,489.88037109375
1248.92578125,662.14599609375
1055.126953125,532.94677734375
1076.66015625,565.24658203125
1055.126953125,554.47998046875
1012.060546875,522.18017578125
1205.859375,662.14599609375
1399.658203125,645.99609375
861.328125,366.064453125
990.52734375,489.88037109375
1162.79296875,656.7626953125
